Generation,Strategy,Fitness,Score,Survival,Cost,Runtime_s,Steps,Operation
1,No Evolution (Single-Shot LLM),6.33,2.1,52.8,52.8,37.793,9,
1,Random,13.88,26,8.8,8.8,37.793,9,AST: swapped statements at positions 5/6
1,LLM-Guided,13.88,26,8.8,8.8,37.793,9,VDB retrieval fitness=13.9: AST: swapped statements at positions 5/6 
2,No Evolution (Single-Shot LLM),6.33,0,0,0,39.624,9,
2,Random,28.75,37.5,100,100,39.624,9,Template substitution from predefined library
2,LLM-Guided,28.75,37.5,100,100,39.624,9,VDB retrieval fitness=28.8: Template substitution from predefined library 
3,No Evolution (Single-Shot LLM),6.33,0,0,0,37.937,9,
3,Random,28.75,0,0,0,37.937,9,
3,LLM-Guided,28.75,0,0,0,37.937,9,
4,No Evolution (Single-Shot LLM),6.33,0,0,0,36.602,9,
4,Random,28.75,0,0,0,36.602,9,
4,LLM-Guided,28.75,0,0,0,36.602,9,
5,No Evolution (Single-Shot LLM),6.33,0,0,0,40.496,9,
5,Random,28.75,0,0,0,40.496,9,
5,LLM-Guided,28.75,0,0,0,40.496,9,
