Gen,Strategy,Fitness,Score,Survival,Cost,Runtime_s,Steps,Operation
1,No Evolution (Single-Shot LLM),6.33,2.1,52.8,52.8,41.232,9,
1,Random,13.88,26,8.8,8.8,41.232,9,AST: swapped statements at positions 5/6
1,LLM-Guided,6.33,2.1,52.8,52.8,41.232,9,Gen 1: flee radius 3 + nearest food
2,No Evolution (Single-Shot LLM),6.33,0,0,0,41.587,9,
2,Random,28.75,37.5,100,100,41.587,9,Template substitution from predefined library
2,LLM-Guided,6.33,0,0,0,41.587,9,
3,No Evolution (Single-Shot LLM),6.33,0,0,0,41.336,9,
3,Random,28.75,0,0,0,41.336,9,
3,LLM-Guided,6.33,0,0,0,41.336,9,
4,No Evolution (Single-Shot LLM),6.33,0,0,0,40.973,9,
4,Random,28.75,0,0,0,40.973,9,
4,LLM-Guided,28.75,37.5,100,100,40.973,9,Gen 4: safety-first move scoring 
5,No Evolution (Single-Shot LLM),6.33,0,0,0,45.897,9,
5,Random,28.75,0,0,0,45.897,9,
5,LLM-Guided,28.75,0,0,0,45.897,9,
6,No Evolution (Single-Shot LLM),6.33,0,0,0,42.622,9,
6,Random,28.75,0,0,0,42.622,9,
6,LLM-Guided,28.75,0,0,0,42.622,9,
7,No Evolution (Single-Shot LLM),6.33,0,0,0,40.015,9,
7,Random,28.75,0,0,0,40.015,9,
7,LLM-Guided,28.75,0,0,0,40.015,9,
8,No Evolution (Single-Shot LLM),6.33,0,0,0,41.35,9,
8,Random,28.75,0,0,0,41.35,9,
8,LLM-Guided,28.75,0,0,0,41.35,9,
9,No Evolution (Single-Shot LLM),6.33,0,0,0,41.339,9,
9,Random,28.75,0,0,0,41.339,9,
9,LLM-Guided,28.75,0,0,0,41.339,9,
10,No Evolution (Single-Shot LLM),6.33,0,0,0,40.406,9,
10,Random,28.75,0,0,0,40.406,9,
10,LLM-Guided,28.75,0,0,0,40.406,9,
11,No Evolution (Single-Shot LLM),6.33,0,0,0,40.593,9,
11,Random,28.75,0,0,0,40.593,9,
11,LLM-Guided,28.75,0,0,0,40.593,9,
12,No Evolution (Single-Shot LLM),6.33,0,0,0,40.346,9,
12,Random,28.75,0,0,0,40.346,9,
12,LLM-Guided,28.75,0,0,0,40.346,9,
13,No Evolution (Single-Shot LLM),6.33,0,0,0,42.117,9,
13,Random,28.75,0,0,0,42.117,9,
13,LLM-Guided,28.75,0,0,0,42.117,9,
14,No Evolution (Single-Shot LLM),6.33,0,0,0,41.552,9,
14,Random,28.75,0,0,0,41.552,9,
14,LLM-Guided,28.75,0,0,0,41.552,9,
15,No Evolution (Single-Shot LLM),6.33,0,0,0,41.232,9,
15,Random,28.75,0,0,0,41.232,9,
15,LLM-Guided,28.75,0,0,0,41.232,9,
